spygen_code,label,prediction,residual,domain_true,domain_pred,domain_correct
SPY201149,0,0,0,1,1,1
SPY201151,0,0,0,1,1,1
SPY201176,0,0,0,1,1,1
SPY201177,0,1,-1,1,1,1
SPY201179,0,0,0,1,1,1
SPY201193,0,0,0,1,1,1
SPY201956,0,0,0,1,1,1
SPY201965,0,0,0,1,1,1
SPY202492,0,0,0,1,1,1
SPY202499,0,0,0,1,1,1
SPY210647,0,0,0,1,1,1
SPY210652,0,0,0,1,1,1
SPY210667,0,0,0,1,1,1
SPY210668,0,0,0,1,1,1
SPY210669,0,0,0,1,1,1
SPY210672,0,0,0,1,1,1
SPY210673,0,0,0,1,1,1
SPY210674,0,0,0,1,1,1
SPY210675,0,0,0,1,1,1
SPY210677,0,0,0,1,1,1
SPY210678,0,0,0,1,1,1
SPY210695,0,0,0,1,1,1
SPY210700,0,0,0,1,1,1
SPY210715,0,0,0,1,1,1
SPY231655,0,0,0,3,1,0
SPY231656,0,0,0,3,1,0
SPY231657,0,0,0,3,1,0
SPY231658,0,0,0,3,1,0
SPY231659,0,0,0,3,1,0
SPY231665,0,0,0,3,1,0
SPY231666,0,0,0,3,1,0
SPY231667,0,0,0,3,1,0
SPY231668,0,0,0,3,1,0
SPY231705,0,0,0,3,1,0
SPY231706,0,0,0,3,1,0
SPY231707,0,0,0,3,1,0
SPY231708,0,0,0,3,1,0
SPY231709,0,0,0,3,1,0
SPY231710,0,0,0,3,1,0
SPY231774,0,0,0,3,1,0
SPY231775,0,0,0,3,1,0
SPY231776,0,0,0,3,1,0
SPY231777,0,1,-1,3,1,0
SPY231778,0,0,0,3,1,0
SPY231779,0,0,0,3,1,0
SPY231794,0,0,0,3,1,0
SPY231796,0,0,0,3,1,0
SPY231797,0,0,0,3,1,0
SPY231798,0,0,0,3,1,0
SPY231907,0,0,0,1,1,1
SPY231908,0,0,0,1,1,1
SPY231915,0,0,0,1,1,1
SPY231916,0,0,0,1,1,1
SPY232832,0,0,0,1,1,1
SPY232833,0,0,0,1,1,1
SPY232834,0,0,0,1,1,1
SPY232835,0,0,0,1,1,1
SPY201169,0,1,-1,1,1,1
SPY202506,0,0,0,1,1,1
SPY202509,0,1,-1,1,1,1
SPY202514,0,1,-1,1,1,1
SPY210676,0,0,0,1,1,1
SPY210679,0,0,0,1,1,1
SPY210680,0,0,0,1,1,1
SPY210683,0,0,0,1,1,1
SPY211262,0,0,0,2,1,0
SPY211273,0,0,0,2,1,0
SPY211277,0,0,0,2,1,0
SPY211311,0,0,0,2,1,0
SPY231695,1,0,1,3,1,0
SPY231696,1,0,1,3,1,0
SPY231703,1,0,1,3,1,0
SPY231704,1,0,1,3,1,0
SPY231669,2,0,2,3,1,0
SPY231670,2,0,2,3,1,0
SPY231697,2,0,2,3,1,0
SPY231698,2,0,2,3,1,0
SPY201150,2,0,2,1,1,1
SPY201152,2,0,2,1,1,1
SPY201157,2,0,2,1,1,1
SPY201158,2,0,2,1,1,1
SPY231699,2,0,2,3,1,0
SPY231700,2,0,2,3,1,0
SPY231701,2,0,2,3,1,0
SPY231702,2,0,2,3,1,0
SPY231911,2,0,2,0,1,0
SPY231912,2,0,2,0,1,0
SPY200806,4,0,4,2,1,0
SPY200807,4,0,4,2,1,0
SPY231660,4,0,4,3,1,0
SPY231661,4,0,4,3,1,0
SPY231662,4,0,4,3,1,0
SPY231663,4,0,4,3,1,0
SPY231664,4,0,4,3,1,0
