Sample,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19,Dim20,Dim21,Dim22,Dim23,Dim24,Dim25,Dim26,Dim27,Dim28,Dim29,Dim30,Dim31,Dim32,Dim33,Dim34,Dim35,Dim36,Dim37,Dim38,Dim39,Dim40,Dim41,Dim42,Dim43,Dim44,Dim45,Dim46,Dim47,Dim48,Dim49,Dim50,Dim51,Dim52,Dim53,Dim54,Dim55,Dim56,Dim57,Dim58,Dim59,Dim60,Dim61,Dim62,Dim63,Dim64,Standard_dev_1,Standard_dev_2,Standard_dev_3,Standard_dev_4,Standard_dev_5,Standard_dev_6,Standard_dev_7,Standard_dev_8,Standard_dev_9,Standard_dev_10,Standard_dev_11,Standard_dev_12,Standard_dev_13,Standard_dev_14,Standard_dev_15,Standard_dev_16,Standard_dev_17,Standard_dev_18,Standard_dev_19,Standard_dev_20,Standard_dev_21,Standard_dev_22,Standard_dev_23,Standard_dev_24,Standard_dev_25,Standard_dev_26,Standard_dev_27,Standard_dev_28,Standard_dev_29,Standard_dev_30,Standard_dev_31,Standard_dev_32,Standard_dev_33,Standard_dev_34,Standard_dev_35,Standard_dev_36,Standard_dev_37,Standard_dev_38,Standard_dev_39,Standard_dev_40,Standard_dev_41,Standard_dev_42,Standard_dev_43,Standard_dev_44,Standard_dev_45,Standard_dev_46,Standard_dev_47,Standard_dev_48,Standard_dev_49,Standard_dev_50,Standard_dev_51,Standard_dev_52,Standard_dev_53,Standard_dev_54,Standard_dev_55,Standard_dev_56,Standard_dev_57,Standard_dev_58,Standard_dev_59,Standard_dev_60,Standard_dev_61,Standard_dev_62,Standard_dev_63,Standard_dev_64
SPY211279,0.053434994,4.854839,-0.029322788,-10.459346,15.507674,-16.667316,1.9844865,-1.7955767,-3.6054695,0.775725,5.1308165,11.034745,11.104174,4.917393,-10.937577,-14.398651,-4.709675,2.613501,-3.3776288,-8.18819,-2.7607863,1.8056313,5.7124743,0.6941627,0.96559554,-9.472384,-3.8588412,9.99766,0.1922071,-2.1566029,-13.813483,-12.641678,-0.7711011,-31.353947,10.393171,4.0667286,0.8807594,3.6873937,-13.548837,2.0542243,2.702918,-3.2563932,-17.075882,-15.081948,-10.157178,14.474842,2.1549473,-25.824892,-16.795845,-13.593919,-1.5591961,16.752516,-35.828465,2.0369065,4.7062087,5.7730184,-11.845689,5.9171753,14.368777,-5.3859944,-28.433199,-13.532013,-9.596031,-9.387244,0.06686431,0.052589934,0.073476724,0.10516725,0.26347858,0.17213874,0.059750076,0.05722088,0.08637115,0.18590821,0.10543741,0.14476229,0.11211056,0.039971557,0.21630476,0.10444424,0.08659748,0.075634375,0.13909274,0.1024912,0.087781176,0.13186,0.0676692,0.027961336,0.08579046,0.20894228,0.077788346,0.089007035,0.07221227,0.13328266,0.21591415,0.10849776,0.0466009,0.36477405,0.09585612,0.08343132,0.037627652,0.05117112,0.21764462,0.11767739,0.18473284,0.054230615,0.19214642,0.14098306,0.04660955,0.14353582,0.07913026,0.21208778,0.18401739,0.1398386,0.11098093,0.11025775,0.25497213,0.11390346,0.04859119,0.06167374,0.1587122,0.06201197,0.15559064,0.093921684,0.3134738,0.118367895,0.12701431,0.0802012
SPY222973,-0.5668031,6.170358,-0.70714384,-11.19498,10.231634,-12.012512,1.6622916,-1.5468603,0.6764264,-5.347865,7.121277,17.176605,12.075332,6.5375776,-12.7490835,-10.338982,-7.6316853,2.2921925,1.7753205,-11.128725,-1.5540862,-0.6637013,7.5044065,2.0792475,6.986742,-8.382761,-2.5817711,6.136507,1.8090067,-3.8132367,-11.981448,-14.612038,1.4983171,-29.284761,16.45903,3.9723308,3.2706468,6.11132,-12.858431,7.3442564,-8.934107,-1.1496134,-22.38086,-12.757681,-10.146595,13.886872,4.3975873,-30.119005,-17.135422,-13.612106,3.1506152,17.003666,-36.30521,4.461222,3.1198642,2.3339844,-15.828874,8.667601,17.482082,-1.9587305,-32.865616,-14.391045,-7.661484,-10.791985,0.06399198,0.10787256,0.12217645,0.1460497,0.22781144,0.31038952,0.06330891,0.04756223,0.23732415,0.13947584,0.1119416,0.29379377,0.17732641,0.06393032,0.3142269,0.22800772,0.20767541,0.08796978,0.19654562,0.1479439,0.17045927,0.073342554,0.06353658,0.11664092,0.20522986,0.13998137,0.09717379,0.21199828,0.08045624,0.17245078,0.2002202,0.1445103,0.08967495,0.31895638,0.28431574,0.09390335,0.12596005,0.17066559,0.18913239,0.18267179,0.48730037,0.14749724,0.37040684,0.17143679,0.15419877,0.20332965,0.057169117,0.30327386,0.17047791,0.18395865,0.15058014,0.17856517,0.3572655,0.18106183,0.10046088,0.27283582,0.3144168,0.14451838,0.18012376,0.13083516,0.38567975,0.14391167,0.15207733,0.10808733
SPY211048,-0.7535571,6.6835184,-0.014504995,-10.254623,10.038648,-11.81926,1.177576,-0.93773806,-0.18019311,-6.822946,8.066348,15.1768465,11.827639,5.969128,-13.527698,-9.978362,-6.692399,2.6197443,1.2912277,-12.442963,-1.4815172,-1.1230571,7.982443,2.7126546,8.330253,-9.486792,-2.2447376,4.6160064,1.9154615,-5.0577154,-12.59894,-14.841815,0.8022807,-29.238247,16.0534,5.3631954,3.6483982,5.840974,-13.9857645,8.697763,-10.070576,-0.88763875,-22.751509,-12.289994,-9.094571,13.924568,4.581549,-29.604815,-17.695711,-14.371962,4.405221,16.052494,-36.13131,4.2101474,2.2453585,0.79358655,-17.872238,8.253544,16.50204,-1.4356445,-33.99165,-13.947431,-7.763652,-10.528922,0.090645,0.079075605,0.21135736,0.13617378,0.19591191,0.2861572,0.07820191,0.06946106,0.14991179,0.116870455,0.15139072,0.2128439,0.07065074,0.09089449,0.18628399,0.30338955,0.1612391,0.07893643,0.21787347,0.1667246,0.27148312,0.1522865,0.056616873,0.12559736,0.21788767,0.3009188,0.10484799,0.25993627,0.18546969,0.26895922,0.23063302,0.21539891,0.067022026,0.28737622,0.20941105,0.11638759,0.14298254,0.1937801,0.2763089,0.13074344,0.33176082,0.124210976,0.22062297,0.13835281,0.16389287,0.19415751,0.09739583,0.33753896,0.27670524,0.14495564,0.10392876,0.13891485,0.5665846,0.22148204,0.06463866,0.3177414,0.17688726,0.111574575,0.14539003,0.17877933,0.26453984,0.17949373,0.14196157,0.1579071
SPY211071,-0.37896445,6.265494,0.41980216,-9.950368,9.9115,-11.731617,1.4431145,-1.17492,-0.06397034,-5.8431425,7.217864,15.589174,11.330959,6.2498507,-12.562481,-10.455335,-6.859109,2.4955494,0.6876692,-11.61043,-0.6784889,-0.5006409,7.6496863,2.024652,7.102618,-8.13383,-2.3965795,5.7608027,1.8667241,-3.6347315,-11.790392,-14.7873955,0.9278459,-28.812456,16.043816,4.709299,3.7060878,6.220403,-12.871273,8.053315,-8.842842,-0.7005967,-21.888407,-12.027147,-9.417753,13.113329,4.205404,-29.482573,-17.627192,-13.693348,3.7226589,16.01444,-36.42226,3.342082,2.3290339,1.9163481,-16.32182,8.153618,16.534407,-1.9854907,-32.65607,-14.042129,-7.1395802,-10.556179,0.06430593,0.092305414,0.14348444,0.12872767,0.1984622,0.3047771,0.06750912,0.053874623,0.21323906,0.139565,0.11779692,0.24786943,0.11489336,0.068838,0.2700524,0.2631603,0.18777867,0.082127474,0.1846248,0.16316597,0.18692967,0.08667953,0.059582874,0.11783865,0.18220861,0.18792483,0.09985431,0.2166982,0.12536894,0.1866542,0.20267758,0.1640033,0.08106452,0.26687655,0.22011872,0.124442026,0.1323196,0.16060217,0.23863272,0.1719433,0.42554194,0.12104602,0.30426842,0.15001796,0.15496257,0.17993966,0.06252903,0.25238827,0.21202573,0.15925802,0.1502009,0.13926168,0.40754718,0.17387606,0.07652988,0.28129244,0.277287,0.11868778,0.12743768,0.14334825,0.31161618,0.12728664,0.1283068,0.11126761
SPY231664,-0.91466135,8.075951,1.7117722,-7.6028233,15.440034,-17.87055,1.1029388,-0.8859106,-7.2885666,-5.0752816,8.399556,6.6988273,11.179841,2.5974374,-13.276391,-15.381654,-2.2195208,4.992927,-3.629156,-12.999713,-1.5263127,-0.11458374,8.037569,2.923825,4.206914,-10.604026,-4.06588,6.974691,3.802358,-7.6349688,-16.951813,-15.560903,-1.8079128,-29.93351,10.655196,5.484611,3.3569686,2.824059,-17.662914,6.8449063,-1.330799,-4.1455736,-19.969992,-13.732144,-8.9739275,14.982726,3.7260425,-28.080915,-19.180918,-16.779516,3.4982789,14.731867,-40.295567,0.70989084,3.893609,4.970422,-15.2547,6.974934,14.482139,-4.0583515,-36.297253,-15.0336,-10.7240925,-9.427261,0.03969862,0.19716094,0.32078695,0.24461423,0.20104328,0.13760254,0.17031488,0.10975573,0.26580516,0.22157018,0.22512066,0.30384818,0.10794428,0.15221104,0.26933792,0.29498827,0.16488585,0.07484748,0.27084407,0.22524528,0.36000407,0.10830787,0.07213081,0.1832501,0.2485621,0.18886824,0.051825784,0.26194063,0.15478043,0.31132787,0.22178054,0.14682099,0.105099685,0.19491945,0.15480253,0.31908527,0.12598641,0.08185891,0.20055439,0.18247497,0.32564074,0.191076,0.27339986,0.12582964,0.07472169,0.12934959,0.13093305,0.1929998,0.19425184,0.18986364,0.20356205,0.13281912,0.30000803,0.34693125,0.13441862,0.16693304,0.19747947,0.15767914,0.31991887,0.16334744,0.46361926,0.15723015,0.13546786,0.11700469
SPY231712,-2.2848258,8.89474,-2.3776503,-12.992855,13.250336,-12.63854,0.16048506,-2.8563004,-1.9923956,-5.1855645,7.5798764,13.005713,12.145328,5.0117183,-17.263489,-9.084008,-7.133516,3.0390172,0.16974832,-11.41109,-6.7091455,0.8896823,8.167638,4.6581416,3.6155217,-5.1781907,-2.5031042,6.886222,-0.28345218,-5.2408614,-11.15586,-14.812675,-0.58224165,-33.373764,13.932717,1.235633,5.5652413,5.5373507,-10.147125,8.301758,-9.975785,-2.7875783,-25.850195,-11.060534,-7.994495,12.644973,2.6652644,-32.189274,-15.795646,-15.87554,4.989554,16.704014,-37.836784,5.4643536,3.7715106,2.9033825,-16.073603,11.221036,18.99393,-0.92138064,-38.10725,-15.654295,-8.865862,-8.827424,0.06800355,0.11201797,0.13607644,0.16977379,0.30827242,0.2793208,0.08715412,0.10546471,0.15706202,0.17562306,0.12969778,0.27304432,0.114949726,0.13145389,0.20801331,0.259557,0.19561669,0.08051281,0.16195044,0.17839815,0.2120778,0.18365787,0.04689782,0.14188614,0.21509191,0.25548878,0.124885984,0.2513299,0.16220424,0.23403376,0.23682356,0.19279045,0.07785865,0.3611411,0.19735254,0.22748189,0.10484996,0.14628266,0.2494219,0.10825303,0.31374025,0.12066131,0.2602074,0.15220156,0.18567984,0.15401784,0.07826078,0.37331644,0.24762504,0.20854847,0.102935605,0.19143131,0.5357403,0.11730367,0.12187259,0.3816174,0.21212904,0.17409575,0.25143573,0.1761089,0.392323,0.21522039,0.117948085,0.15407024
SPY210676,-1.1405319,6.4188495,-4.4345407,-9.97138,10.707847,-11.464832,-0.6566978,-0.5460428,-0.5919893,-5.641408,10.121736,11.392513,10.004169,4.934857,-13.123665,-6.515166,-3.699764,0.85472125,5.0569324,-12.428321,-5.9451213,-3.0798898,5.548967,3.9053848,9.458502,-14.599382,-1.1839801,1.0893389,0.8022313,-9.68095,-14.990702,-11.505702,1.5557098,-24.639462,13.149729,3.8443656,1.2379923,3.3977947,-15.373039,6.0013013,-10.116791,-2.7342,-19.891815,-11.229357,-7.8120174,15.391761,5.967362,-23.581526,-14.701885,-14.4414625,4.7389345,14.828459,-27.991297,7.3241425,3.1911256,-1.5791558,-16.558931,6.525501,14.450219,0.86288786,-32.691013,-11.681445,-10.11929,-7.5573993,0.053152453,0.07878134,0.20779246,0.120668024,0.15049063,0.20282717,0.09903129,0.046527676,0.11005847,0.13139024,0.09635262,0.1994209,0.11671046,0.06012672,0.19064252,0.19336492,0.13899055,0.15598114,0.24880373,0.12477458,0.2813706,0.06569763,0.22574542,0.12303958,0.14835836,0.28930348,0.06910186,0.17646028,0.15417664,0.19633678,0.23905031,0.10515086,0.09541743,0.1618461,0.14983374,0.18461871,0.09802141,0.08445506,0.21176542,0.12695788,0.29414645,0.08998653,0.16869763,0.16545418,0.13749965,0.14418574,0.108056605,0.1849282,0.12438342,0.12089901,0.16205925,0.10539129,0.32523143,0.12460195,0.077724434,0.1970852,0.15305918,0.084432796,0.15342733,0.1744656,0.25174576,0.07316101,0.13026774,0.12686786
SPY231886,-2.6472867,9.821805,-2.9449275,-12.663051,16.609102,-15.531265,-0.35864136,-3.8446848,-3.2666402,-3.5663202,8.193566,11.449398,12.203747,4.7159176,-17.636827,-10.737142,-6.3685894,3.1581616,-0.8403905,-11.712239,-7.7199254,2.4884522,8.203189,4.630808,1.71892,-4.905194,-3.528757,8.145555,1.2003789,-5.839651,-12.803473,-15.228538,-1.5033303,-34.418583,12.547504,-1.460856,5.6408305,4.030335,-11.118287,7.008586,-6.0007353,-4.6181254,-25.270948,-11.684847,-9.283207,13.714518,2.3199558,-32.902138,-16.64947,-17.299042,4.618375,16.950846,-40.348843,5.797658,5.4456515,6.798709,-13.890331,11.802235,20.432034,-2.4007947,-39.85201,-16.971935,-9.877989,-8.638167,0.07698004,0.09743592,0.12669425,0.16485955,0.2520247,0.19881396,0.0997255,0.12570287,0.12117613,0.22096293,0.12738575,0.27549896,0.11495639,0.15830676,0.22624283,0.2721599,0.21820737,0.10871218,0.09816836,0.16749094,0.24685551,0.17516015,0.04533429,0.15990846,0.17427744,0.28927502,0.104528934,0.25022012,0.17383724,0.28078958,0.22384845,0.16817981,0.07427153,0.4036472,0.18776909,0.21724448,0.12635043,0.13444003,0.2741975,0.09913058,0.25472707,0.10151359,0.2627582,0.15939002,0.20145975,0.14841913,0.09594282,0.36014754,0.23741361,0.15519777,0.11549708,0.18963684,0.49240667,0.101644225,0.1031552,0.31141445,0.16640027,0.16886851,0.17272641,0.16922727,0.34228915,0.2044198,0.09810334,0.15974535
SPY210669,-2.6426582,7.155928,-4.7474427,-13.966283,8.52515,-6.161536,0.09477053,-1.5812321,0.056855608,-6.1494985,6.6889267,13.74492,11.517757,4.0460887,-18.205708,-2.8519735,-6.6769137,1.1508622,4.154011,-9.479172,-9.69912,-2.3307111,6.560058,6.336116,6.473542,-6.685204,-0.12458936,2.7741435,-4.048733,-5.720398,-7.8338337,-10.3172655,-0.010591189,-29.42595,14.050951,2.6784327,4.466601,6.0813084,-7.5411224,8.197524,-16.266993,-0.81960034,-24.498632,-8.74103,-4.193613,9.885541,2.923218,-26.128658,-11.313536,-12.799406,5.58796,14.043479,-26.171581,6.940895,2.0561497,-4.9685383,-18.353052,9.45126,14.240315,2.3195243,-33.298027,-11.716072,-8.18716,-6.1885343,0.07001651,0.09193181,0.15782896,0.15923852,0.14432748,0.28028387,0.100639544,0.036401495,0.16406064,0.091846004,0.123361036,0.2446328,0.09537912,0.093317755,0.23587877,0.2145298,0.18677498,0.10767149,0.16776244,0.17885627,0.2988272,0.08865705,0.087156646,0.15288371,0.17466858,0.21242759,0.06885552,0.10024028,0.21958777,0.17390364,0.21297649,0.1569907,0.073668614,0.22750986,0.22017771,0.11661829,0.08299125,0.16977835,0.26189375,0.12698312,0.36332068,0.118369155,0.20909382,0.1267365,0.19406651,0.1879489,0.06922587,0.21378297,0.22845486,0.14536025,0.084072836,0.11419071,0.35522953,0.09087194,0.07998094,0.24700777,0.18585645,0.102686636,0.14697936,0.10704693,0.25417852,0.090508826,0.10393387,0.14657876
SPY231757,-2.4968922,9.566329,-3.1173978,-9.988454,13.576902,-13.010397,-1.7622094,-1.812114,-4.426622,-6.5844893,9.23411,6.8327,9.85487,2.05652,-16.007406,-7.7290154,-2.4603138,3.8985848,-0.61434895,-12.648955,-7.9838133,-0.48442507,7.554003,6.106501,4.7180715,-8.772949,-2.0867255,3.6745152,0.59015036,-9.216465,-13.252181,-12.800325,-1.589016,-27.935888,10.045787,1.1928455,4.33373,2.223511,-11.804574,7.187442,-7.7460556,-3.986073,-22.193497,-9.517217,-6.252576,12.704629,3.642275,-25.890017,-14.2762985,-16.548208,5.8013067,13.162159,-32.41201,4.4424996,3.7438164,1.3959965,-14.993998,8.310112,15.922323,0.42013302,-37.264637,-13.903855,-9.72615,-6.557279,0.06353721,0.11631341,0.1285884,0.12549594,0.2784827,0.20071836,0.115133815,0.058647625,0.099846005,0.09490785,0.13698857,0.23569727,0.10403944,0.11069582,0.24108079,0.18883124,0.12759168,0.06944769,0.093664505,0.18074453,0.28124788,0.07325075,0.06645359,0.20794693,0.14995156,0.18367985,0.101498775,0.09028148,0.17252438,0.22924432,0.25760862,0.15289018,0.05254109,0.2665576,0.12709726,0.15974149,0.07886274,0.08507591,0.24079567,0.11281885,0.22840625,0.12497814,0.26341063,0.1306582,0.12770748,0.16693479,0.07657677,0.22346252,0.19020711,0.21914332,0.12502691,0.13435473,0.3310377,0.09434189,0.1342283,0.18841289,0.17381777,0.07956228,0.14798203,0.14745711,0.47571102,0.17514688,0.13437001,0.10776972
SPY212712,-1.3515469,9.783067,1.1993053,-8.727129,16.39556,-16.438456,0.33279794,-1.2027843,-4.085308,-9.091794,11.412907,10.271556,13.417864,3.8917055,-17.645382,-13.843057,-4.5075154,4.8344917,-1.2948952,-18.340925,-2.25182,-1.7528632,9.302623,5.650923,10.266127,-13.166728,-4.312919,4.0217004,4.5501947,-10.870453,-18.863363,-18.631134,-0.3637726,-35.046116,16.178446,6.732825,4.5103416,4.1302857,-19.430206,11.47749,-10.143161,-2.7875361,-27.257004,-14.492112,-9.542816,17.554495,5.731866,-33.841785,-22.053354,-20.058678,6.9901485,17.331348,-44.34483,3.7877634,2.8307586,1.5321037,-22.102077,8.92045,17.672682,-0.8272379,-44.53424,-17.409794,-11.092199,-11.593739,0.028400593,0.06079848,0.06948633,0.089694746,0.13314459,0.1640012,0.04454992,0.03689992,0.10364274,0.077401675,0.05948971,0.13454619,0.07363386,0.05996264,0.12088828,0.12280821,0.07750467,0.048073985,0.07391637,0.10038249,0.09380289,0.049098894,0.034192495,0.06805345,0.11904621,0.104690105,0.059552584,0.098211125,0.049011018,0.09750209,0.120098926,0.09282911,0.035505477,0.17797998,0.11730816,0.0920654,0.052438535,0.06694697,0.12130368,0.09979884,0.18268196,0.094910026,0.15549882,0.08457858,0.05973992,0.08312264,0.033252757,0.17848898,0.11107699,0.10809943,0.07439191,0.08872187,0.23214988,0.0765319,0.07523289,0.1366685,0.15927282,0.07511455,0.11273935,0.072294205,0.22301215,0.097210884,0.09091982,0.060829468
SPY212760,-1.6136695,7.1222196,-2.2758636,-13.166441,9.649535,-8.830971,1.156525,-1.6232642,1.5102016,-7.1270156,7.9933786,17.180555,13.217518,5.8955727,-17.591074,-6.735676,-8.702172,1.8546724,3.7346897,-11.881252,-5.403774,-2.0749254,7.7531176,5.0391903,9.080633,-8.660932,-1.7629409,3.515288,-0.8746215,-5.633271,-11.053918,-13.951828,1.279259,-32.462914,17.706213,4.52322,4.606529,7.1107416,-11.807697,9.756158,-15.861719,-0.43395332,-26.785692,-11.636766,-7.849619,13.1581955,4.1425223,-30.848356,-16.04545,-14.291772,5.4707727,16.548939,-33.67945,6.8549433,2.2909477,-2.7200565,-20.39627,10.142411,16.76375,0.92074704,-36.36751,-14.045911,-8.176158,-9.475623,0.053411506,0.09785903,0.18223296,0.18292215,0.20610887,0.30363467,0.081101544,0.07854265,0.18583761,0.11618675,0.15104227,0.26718783,0.14319423,0.07106604,0.20896986,0.2592656,0.18161468,0.09787541,0.21577825,0.19335799,0.21695022,0.120851934,0.06490484,0.11071027,0.242365,0.30500802,0.09509247,0.19766426,0.18470678,0.2179211,0.25593713,0.19923109,0.09054336,0.30180866,0.21482736,0.13696656,0.12044322,0.16015732,0.29714456,0.12078042,0.3534526,0.13024572,0.26515177,0.16078176,0.15886271,0.23753163,0.09120448,0.33991012,0.2058155,0.1910128,0.09765383,0.19512741,0.46342608,0.18305819,0.11343944,0.31938776,0.20667708,0.13511679,0.24590011,0.13620196,0.3529755,0.17420106,0.14769974,0.14609
SPY210647,-2.9398918,9.024088,-5.301007,-11.840109,13.188739,-11.705847,-2.8361936,-2.607445,-3.5444758,-3.785825,8.366914,6.9864755,8.899464,2.40333,-16.33613,-4.994281,-2.5894947,2.0596788,0.62807536,-9.174634,-10.920926,0.66380185,6.189793,5.9590635,1.1757697,-6.6437173,-1.5868794,4.475734,-1.5319629,-7.6908436,-9.7274275,-10.800135,-1.95668,-26.772608,8.325908,-1.9110997,4.2982807,2.1257195,-8.177855,4.747,-6.7310076,-4.314656,-21.422209,-7.4275813,-5.115366,10.688125,2.0659378,-24.012194,-11.271479,-14.741409,4.7496,12.402506,-27.30181,5.6651516,5.4154754,2.258483,-11.987792,8.3727255,16.032305,0.7521029,-34.474815,-12.887103,-9.262781,-4.749389,0.102375485,0.046332102,0.11390075,0.10289104,0.08028882,0.20158255,0.12128899,0.035827648,0.04144926,0.07647044,0.03952791,0.103554,0.091446415,0.07453244,0.16896567,0.24364698,0.095052965,0.076155156,0.06632539,0.09291927,0.28286123,0.06806484,0.10273654,0.21117006,0.11740083,0.11593946,0.031927347,0.04107042,0.22922713,0.107723184,0.2112445,0.0595748,0.032171477,0.14476682,0.061188914,0.1428748,0.104540735,0.05297062,0.25655615,0.07152662,0.2902705,0.075863965,0.21155544,0.13896918,0.17988369,0.1362138,0.05615126,0.0913534,0.13593066,0.07621159,0.12944086,0.10499935,0.30037457,0.04154017,0.052861184,0.22431992,0.08305543,0.030779984,0.0886948,0.24255551,0.2215585,0.051576614,0.042782564,0.122611746
SPY211311,-0.26692197,6.3320017,1.735547,-6.323924,15.65921,-16.830437,1.3312106,0.1805231,-5.850495,-3.5260024,10.023296,4.313101,11.509494,1.6137921,-13.769869,-14.544679,-2.3027718,3.558634,-0.22964329,-10.830651,-1.6235342,-2.5797396,4.568906,3.242213,6.845936,-18.661015,-3.6238701,2.924318,3.2833986,-10.412612,-21.392017,-13.609549,-0.14522633,-28.852783,10.336922,9.072113,0.31252706,3.456472,-22.07265,4.5550327,-2.4197707,-5.1142025,-19.718258,-15.694823,-8.090342,17.709702,6.5645275,-23.534328,-17.810894,-16.002964,2.4288888,14.9333725,-34.135,2.1119788,5.549389,0.726421,-17.99434,3.9190907,10.690048,-3.3686118,-35.05945,-13.997311,-14.337842,-9.152195,0.008285403,0.002551794,0.042790413,0.027859926,0.006485462,0.0029802325,0.017310739,0.011268377,0.030433178,0.004206419,0.022355556,0.038454056,0.0014219284,0.019657016,0.0015168191,0.04038334,0.020215273,0.017793894,0.039527886,0.009748459,0.036980927,0.0033373833,0.010714769,0.008128643,0.004600525,0.019508362,0.003821373,0.013060331,0.01570344,0.0038881302,0.005329132,0.0014481546,0.01271832,0.0015306476,0.014366627,0.031873703,0.0059776306,0.0056550503,0.00826931,0.0004081726,0.026119113,0.0052702427,0.013586044,0.0052814484,0.010036945,0.023921967,0.0104961395,0.024053574,0.0044384003,0.0135355,0.0039093494,0.016006947,0.013134003,0.052193165,0.0053572655,0.0040148497,0.0020771027,0.004293561,0.052437782,0.011408567,0.026334763,0.004354477,0.0086603165,0.00057792664
SPY210651,-2.5581167,9.31339,-2.8395276,-10.353488,12.46875,-11.950114,-1.4648201,-1.6925328,-4.020123,-6.772257,8.671668,7.6305447,9.940614,2.4431672,-15.989798,-7.2220793,-3.088365,3.730145,-0.56360036,-12.309094,-7.780787,-0.5480314,7.6405215,5.9166493,4.9066777,-7.889125,-1.6256461,3.7853081,-0.09464826,-8.286878,-12.098645,-12.696082,-1.5332133,-28.180613,10.564965,1.8070575,4.522142,2.9042804,-10.929473,7.728823,-8.855876,-3.2968597,-22.367653,-9.35988,-5.9031205,12.071646,3.34186,-26.127577,-13.958079,-15.967516,5.902845,13.208146,-32.015774,4.402541,3.099657,0.47143728,-15.577256,8.47642,15.603462,0.57039726,-36.442493,-13.49255,-9.164485,-6.7224255,0.069520876,0.10742741,0.18013066,0.14327176,0.25668034,0.21315622,0.1031217,0.055017717,0.1195763,0.1058252,0.13334718,0.1998914,0.0695224,0.10783315,0.18357542,0.22643478,0.1298391,0.085046664,0.123137206,0.21024764,0.30115706,0.076926075,0.06365613,0.16193461,0.17678705,0.21408649,0.10399583,0.08948051,0.19688106,0.23035397,0.28310433,0.1555794,0.045758836,0.17908384,0.13347158,0.17191288,0.057751257,0.1110579,0.27647614,0.11545001,0.20990108,0.11684068,0.17997874,0.12336364,0.12391141,0.17434375,0.09315411,0.16530988,0.22059536,0.20484035,0.095427655,0.08703589,0.34806398,0.10909922,0.11404507,0.18197319,0.16997066,0.06716184,0.10903971,0.12478973,0.3811079,0.14502303,0.1366894,0.12286853
